Customer ID,preferred_payment_method,total_spend,addons_spend
1372,Cash,2373.57,23.50
1374,Debit Card,6495.52,18.05
1375,Cash,2783.76,84.06
1378,Paypal,166.00,49.00
1379,Debit Card,3711.68,54.56
1381,Credit Card,83.00,0.00
1382,,0.00,0.00
1383,Paypal,1689.66,0.00
1385,Debit Card,2373.57,29.62
1387,Debit Card,741.09,131.11
1388,Cash,1235.15,117.86
1389,Credit Card,13095.24,49.96
1390,Debit Card,1482.18,78.25
1393,,0.00,0.00
1395,Debit Card,3247.72,0.00
1396,Cash,844.83,6.26
1398,Debit Card,7911.90,68.22
1399,Paypal,6377.77,30.62
1400,Cash,3368.12,72.55
1401,Debit Card,3247.72,120.77
1402,Cash,844.83,98.29
1403,Credit Card,6597.72,0.00
1404,Credit Card,247.03,83.72
1405,Paypal,1235.15,91.72
1406,Cash,1482.18,0.00
1408,Debit Card,228.25,0.00
1409,Cash,103.75,80.17
1411,Paypal,145.25,0.00
1416,Paypal,10137.96,26.79
1419,Credit Card,124.50,76.59
1420,Paypal,6329.52,0.00
1421,Cash,1729.21,95.27
1422,Paypal,13141.80,67.04
1423,Cash,5602.59,115.00
1424,Paypal,3711.68,10.21
1425,Debit Card,4669.70,71.42
1427,,0.00,0.00
1428,Credit Card,3164.76,5.49
1429,Paypal,1689.66,43.47
1430,Debit Card,1482.18,49.57
1431,Credit Card,4701.89,81.00
1433,Cash,2783.76,82.23
1434,Cash,62.25,101.96
1435,Paypal,844.83,32.97
1436,Debit Card,10368.43,148.56
1442,,0.00,0.00
1443,Cash,2059.24,67.62
1445,,0.00,0.00
1447,Cash,8635.75,170.72
1448,,0.00,0.00
1449,Credit Card,1582.38,81.81
1450,Cash,988.12,65.39
1451,Paypal,1719.11,126.42
1454,Paypal,7603.47,11.82
1455,Cash,8015.65,172.05
1456,,0.00,0.00
1457,Debit Card,1582.38,20.61
1458,Credit Card,247.03,29.55
1460,Debit Card,5131.23,153.72
1461,Credit Card,13879.35,0.00
1462,Credit Card,4142.70,143.68
1463,Cash,741.09,36.67
1464,Cash,5538.33,34.37
1465,Cash,8652.99,150.43
1466,Debit Card,4473.55,137.54
1467,Debit Card,7603.47,48.47
1469,Debit Card,1855.84,53.40
1470,Debit Card,3379.32,39.32
1473,Cash,1917.91,64.20
1475,Credit Card,1391.88,99.59
1476,Cash,2319.80,51.56
1477,Credit Card,2470.30,121.16
1478,Debit Card,6426.25,148.04
1480,Debit Card,7911.90,11.05
1481,Credit Card,9683.45,81.89
1482,,0.00,0.00
1483,Debit Card,1052.42,115.86
1484,Credit Card,3711.68,0.00
1486,Debit Card,10119.16,81.26
1488,,0.00,0.00
1489,Credit Card,741.09,69.42
1490,,0.00,0.00
1492,Debit Card,2223.27,32.14
1494,Paypal,3227.01,37.49
1495,Credit Card,3372.22,74.53
1497,Paypal,1855.84,42.04
1499,Cash,14297.92,108.88
1501,Cash,247.03,0.00
1502,Credit Card,3368.12,105.01
1504,Paypal,3247.72,51.66
1507,Paypal,463.96,60.14
1509,Debit Card,741.09,16.27
1511,Paypal,4639.60,191.87
1512,Debit Card,3608.72,137.81
1514,,0.00,0.00
1515,Debit Card,791.19,60.98
1516,Cash,3438.22,145.34
1517,,0.00,0.00
1518,Debit Card,9767.74,71.40
1520,Credit Card,1976.24,22.35
1523,Cash,3711.68,38.15
1524,Debit Card,2470.30,80.38
1526,Debit Card,2319.80,35.95
1528,Paypal,7603.47,70.13
1535,Debit Card,5662.83,64.56
1536,,0.00,0.00
1537,Debit Card,741.09,0.00
1538,Debit Card,228.25,167.76
1539,Debit Card,62.25,0.00
1540,,0.00,0.00
1541,Debit Card,2319.80,56.06
1543,Cash,1976.24,0.00
1545,,0.00,0.00
1546,Debit Card,7174.35,65.19
1549,Credit Card,41.50,13.96
1551,Cash,41.50,35.04
1553,Cash,20.75,48.62
1554,Cash,7603.47,76.43
1555,,0.00,0.00
1556,Credit Card,741.09,42.87
1558,Paypal,3711.68,48.25
1559,Cash,1135.42,20.67
1561,Cash,463.96,33.22
1562,Credit Card,4224.15,109.76
1566,Credit Card,5410.79,121.88
1568,Credit Card,6204.40,129.56
1570,Credit Card,3247.72,90.36
1571,Paypal,3420.82,38.35
1574,Credit Card,3711.68,0.00
1576,Paypal,1976.24,85.81
1577,Paypal,2534.49,25.86
1578,Paypal,15823.80,15.10
1579,Cash,988.12,0.00
1581,,0.00,0.00
1584,,0.00,0.00
1585,Paypal,10607.31,0.00
1586,Cash,124.50,0.00
1587,Paypal,3151.19,16.20
1589,Credit Card,41.50,56.16
1590,Cash,8614.30,88.92
1591,Cash,927.84,18.56
1592,Paypal,4639.60,8.31
1593,Debit Card,2534.49,41.40
1595,Cash,2223.27,0.00
1597,Paypal,7148.96,150.91
1599,,0.00,0.00
1601,Debit Card,1582.38,0.00
1602,Credit Card,2223.27,36.33
1603,Debit Card,741.09,122.22
1605,Credit Card,5068.98,45.53
1606,Debit Card,4224.15,28.82
1610,,0.00,0.00
1611,Credit Card,650.71,97.84
1613,Cash,1235.15,21.29
1616,Credit Card,12635.25,310.09
1617,Cash,83.00,44.75
1618,Credit Card,9113.28,25.61
1619,Cash,2373.57,74.07
1621,Cash,166.00,122.67
1622,Debit Card,8448.30,81.00
1624,Paypal,4747.14,0.00
1626,Credit Card,5068.98,0.00
1628,Credit Card,20.75,0.00
1630,,0.00,0.00
1631,,0.00,0.00
1632,Paypal,290.50,86.88
1633,Debit Card,4279.39,94.77
1634,,0.00,0.00
1635,Debit Card,1636.02,118.95
1636,Credit Card,311.25,58.57
1637,Debit Card,1669.01,26.45
1638,,0.00,0.00
1639,Cash,166.00,40.33
1640,Credit Card,8448.30,60.39
1641,Credit Card,20.75,26.38
1642,Credit Card,1582.38,70.66
1643,Credit Card,927.92,0.00
1644,Debit Card,4780.46,151.81
1645,Cash,20.75,0.00
1647,Cash,5538.33,85.52
1649,,0.00,0.00
1650,Credit Card,41.50,89.39
1651,,0.00,0.00
1652,Paypal,62.25,7.36
1654,Paypal,7603.47,68.59
1656,,0.00,0.00
1657,Paypal,8942.36,140.82
1658,Credit Card,5068.98,0.00
1660,Debit Card,4747.14,0.00
1661,Cash,639.31,84.43
1662,Credit Card,124.50,0.00
1663,,0.00,0.00
1664,Paypal,958.02,53.25
1667,Debit Card,6758.64,84.02
1668,,0.00,0.00
1669,Credit Card,7665.72,167.60
1670,Cash,20.75,110.07
1671,Debit Card,4747.14,0.00
1672,Credit Card,6059.15,59.67
1673,Credit Card,4042.58,98.12
1674,Cash,3351.51,43.91
1676,Cash,145.25,0.00
1677,Paypal,5068.98,49.90
1678,Credit Card,62.25,32.65
1681,Cash,1582.38,64.88
1682,,0.00,0.00
1683,Cash,752.49,0.00
1684,Cash,1876.59,116.03
1686,Credit Card,1582.38,87.37
1688,Debit Card,1689.66,6.25
1689,,0.00,0.00
1690,Debit Card,1789.88,13.79
1691,Debit Card,7109.42,79.12
1693,Debit Card,1421.98,22.34
1694,Cash,2783.76,60.57
1695,Debit Card,7307.46,33.58
1696,Debit Card,2867.63,108.82
1697,,0.00,0.00
1698,Paypal,247.03,16.73
1699,Debit Card,7721.14,205.03
1700,Debit Card,1689.66,0.00
1701,Credit Card,6329.52,101.53
1702,Cash,2183.74,52.54
1703,Debit Card,1976.24,68.72
1704,Cash,62.25,14.64
1705,Debit Card,988.12,43.80
1706,Paypal,5913.81,0.00
1709,,0.00,0.00
1710,,0.00,0.00
1711,Debit Card,7307.46,97.34
1712,Cash,1482.18,126.64
1713,Debit Card,8614.30,133.09
1714,Paypal,494.06,61.80
1715,,0.00,0.00
1718,Cash,4244.90,77.41
1719,,0.00,0.00
1720,Debit Card,7120.71,0.00
1721,,0.00,0.00
1723,,0.00,0.00
1724,Credit Card,1689.66,49.33
1725,,0.00,0.00
1726,Cash,8981.91,143.96
1727,Cash,5538.33,9.90
1728,,0.00,0.00
1729,,0.00,0.00
1731,Credit Card,145.25,74.45
1732,Paypal,5068.98,0.00
1734,Paypal,3832.08,128.53
1735,Cash,1729.21,32.89
1736,Paypal,2783.76,45.48
1738,Paypal,824.09,200.27
1739,Cash,12980.88,105.92
1742,Paypal,3379.32,0.00
1744,Credit Card,927.92,83.63
1745,Credit Card,4224.15,47.08
1746,Debit Card,7911.90,33.76
1748,Credit Card,1689.66,42.66
1749,Paypal,4224.15,71.06
1751,Paypal,186.75,0.00
1752,,0.00,0.00
1753,Paypal,7120.71,0.00
1754,,0.00,0.00
1755,,0.00,0.00
1756,Paypal,20.75,38.86
1758,Paypal,3247.72,15.95
1759,,0.00,0.00
1760,,0.00,0.00
1761,Paypal,2470.30,41.50
1766,,0.00,0.00
1768,,0.00,0.00
1769,,0.00,0.00
1770,Debit Card,791.19,0.00
1771,Debit Card,2038.49,92.42
1772,Cash,4639.60,47.57
1773,,0.00,0.00
1774,Debit Card,5538.33,97.12
1775,,0.00,0.00
1776,Cash,4307.15,66.68
1778,Debit Card,2534.49,0.00
1779,Paypal,3997.45,35.70
1781,Debit Card,247.03,43.89
1783,,0.00,0.00
1784,Cash,5068.98,73.92
1785,Paypal,7603.47,110.23
1787,Cash,20.75,8.87
1788,Credit Card,103.75,98.64
1789,,0.00,0.00
1790,Cash,2783.76,0.00
1792,Cash,9577.24,28.74
1794,Credit Card,13141.80,78.72
1795,Paypal,3711.68,0.00
1797,Debit Card,1421.98,74.03
1798,Credit Card,103.75,0.00
1799,Credit Card,4224.15,0.00
1800,Paypal,207.50,29.80
1801,Credit Card,3164.76,45.83
1803,Cash,166.00,0.00
1806,Credit Card,567.71,0.00
1807,Cash,1482.18,86.84
1808,Debit Card,7120.71,56.68
1809,Credit Card,927.92,67.56
1810,,0.00,0.00
1811,Credit Card,3665.90,48.88
1813,Debit Card,3247.72,0.00
1815,Cash,494.06,72.05
1817,Debit Card,2717.33,70.03
1819,Debit Card,2319.80,0.00
1821,Cash,1855.84,0.00
1822,,0.00,0.00
1823,Paypal,103.75,0.00
1824,Credit Card,7603.47,33.07
1828,,0.00,0.00
1829,Debit Card,12707.03,107.51
1830,,0.00,0.00
1834,,0.00,0.00
1836,Debit Card,3247.72,58.28
1837,,0.00,0.00
1838,Debit Card,15206.94,71.87
1840,Credit Card,2534.49,83.67
1844,Paypal,4639.60,57.73
1845,Credit Card,2319.80,79.78
1846,Paypal,5401.34,25.44
1847,Credit Card,2223.27,0.00
1849,Cash,1091.87,61.32
1851,,0.00,0.00
1853,Cash,8448.30,118.94
1856,Paypal,1482.18,74.99
1858,Cash,844.83,16.15
1860,Credit Card,2319.80,29.19
1861,Debit Card,927.92,62.63
1863,Paypal,103.75,78.88
1864,Credit Card,1391.88,0.00
1866,,0.00,0.00
1868,,0.00,0.00
1869,Debit Card,166.00,0.00
1873,,0.00,0.00
1876,,0.00,0.00
1877,,0.00,0.00
1878,Credit Card,494.06,83.53
1879,Paypal,6758.64,24.42
1880,,0.00,0.00
1882,Credit Card,269.75,177.16
1883,Paypal,5294.06,66.67
1884,Cash,8344.56,83.75
1885,Cash,1582.38,37.93
1886,Paypal,844.83,0.00
1887,Cash,5895.50,98.14
1888,Cash,1769.13,126.45
1889,Cash,2717.33,79.17
1890,Debit Card,936.44,119.57
1891,Debit Card,7120.71,58.16
1892,Cash,41.50,41.60
1893,Cash,145.25,56.20
1894,Paypal,4639.60,33.60
1899,Debit Card,83.00,100.77
1900,,0.00,0.00
1901,Debit Card,11505.78,0.00
1903,Debit Card,2410.10,157.00
1904,Cash,927.92,56.23
1905,Cash,4224.15,93.04
1907,Paypal,83.00,60.20
1908,Paypal,3247.72,0.00
1909,,0.00,0.00
1910,Debit Card,1855.84,0.00
1911,Paypal,4175.64,94.47
1914,Cash,2470.30,0.00
1915,Cash,1769.13,20.70
1916,Debit Card,4327.90,124.47
1917,Debit Card,15075.34,82.63
1918,Debit Card,1391.88,89.86
1921,Cash,2783.76,0.00
1922,Cash,3164.76,0.00
1924,,0.00,0.00
1925,Debit Card,7471.87,157.36
1927,,0.00,0.00
1928,,0.00,0.00
1929,,0.00,0.00
1931,,0.00,0.00
1934,Credit Card,5141.00,181.15
1936,Paypal,14777.82,117.03
1937,,0.00,0.00
1938,Debit Card,2430.77,123.01
1939,Paypal,5811.79,35.40
1941,Cash,10500.42,20.98
1942,Paypal,1976.24,80.78
1943,Paypal,3164.76,67.23
1944,Paypal,791.19,101.26
1945,Cash,2427.21,70.93
1946,Cash,7120.71,0.00
1948,Paypal,166.00,73.89
1949,Credit Card,6758.64,20.05
1950,,0.00,0.00
1951,Paypal,4224.15,95.70
1956,Cash,5538.33,73.56
1957,,0.00,0.00
1958,Debit Card,6329.52,0.00
1962,,0.00,0.00
1964,,0.00,0.00
1965,Cash,1401.15,90.09
1966,Debit Card,103.75,80.76
1967,Cash,6329.52,89.28
1968,Paypal,145.25,50.39
1970,Paypal,3955.95,64.72
1971,,0.00,0.00
1972,,0.00,0.00
1974,Paypal,8048.63,0.00
1975,Cash,2373.57,39.64
1976,,0.00,0.00
1977,Credit Card,791.19,43.61
1978,,0.00,0.00
1979,Debit Card,844.83,35.34
1980,,0.00,0.00
1981,Cash,3247.72,53.02
1982,Credit Card,2026.34,118.29
1983,Cash,1729.21,87.70
1985,Paypal,15032.61,70.51
1987,Cash,2373.57,16.46
1988,Debit Card,9386.74,87.04
1989,Debit Card,6383.16,23.43
1991,Paypal,1689.66,19.17
1994,Paypal,7603.47,33.66
1995,Cash,2076.44,140.05
1996,Cash,124.50,48.24
1997,Paypal,7120.71,52.67
1998,,0.00,0.00
1999,Cash,927.84,136.29
2000,Debit Card,3379.32,30.05
2001,,0.00,0.00
2003,Paypal,2783.76,38.40
2005,Debit Card,741.09,7.41
2007,Paypal,3711.68,0.00
2010,Paypal,3711.68,35.05
2012,Cash,741.09,40.95
2013,Debit Card,9190.98,109.60
2014,,0.00,0.00
2015,Cash,4175.64,54.59
2017,Cash,4940.60,44.45
2018,Paypal,2373.57,19.89
2020,Cash,463.96,44.97
2021,Debit Card,5068.98,91.77
2022,Cash,12296.97,39.81
2025,Cash,3114.66,118.14
2026,Credit Card,166.00,34.08
2027,Cash,3832.08,122.97
2029,Credit Card,1582.38,43.30
2030,Paypal,7748.72,80.35
2031,Cash,247.03,0.00
2033,Credit Card,6329.52,65.44
2035,Credit Card,3272.04,119.52
2036,Cash,927.92,62.95
2037,Cash,4349.81,51.14
2039,Paypal,13932.99,136.12
2041,Debit Card,3379.32,0.00
2042,,0.00,0.00
2047,Paypal,2783.76,68.01
2048,Credit Card,4639.60,12.78
2050,Cash,5068.98,61.87
2052,,0.00,0.00
2053,,0.00,0.00
2054,Debit Card,4224.15,69.38
2055,Debit Card,7603.47,60.65
2056,,0.00,0.00
2058,,0.00,0.00
2059,,0.00,0.00
2060,Debit Card,2783.76,58.49
2061,Credit Card,3711.68,48.04
2063,Paypal,2373.57,54.23
2065,Paypal,62.25,0.00
2069,Debit Card,1391.88,55.81
2070,Debit Card,3247.72,75.58
2071,Cash,5089.73,104.36
2072,Cash,7686.47,92.35
2073,Debit Card,6329.52,62.20
2074,Cash,16338.35,182.66
2075,Credit Card,7120.71,112.63
2076,,0.00,0.00
2077,,0.00,0.00
2078,Cash,4854.29,109.45
2080,Cash,7120.71,7.13
2081,Cash,5913.81,53.28
2082,Credit Card,145.25,0.00
2086,Debit Card,791.19,0.00
2087,Cash,2410.10,45.05
2088,,0.00,0.00
2090,Debit Card,9113.28,108.84
2091,Cash,20.75,0.00
2092,,0.00,0.00
2093,,0.00,0.00
2094,Cash,10285.47,68.85
2099,Credit Card,41.50,0.00
2100,Cash,494.06,46.20
2101,Debit Card,844.83,34.46
2102,Debit Card,4747.14,68.00
2103,Credit Card,4747.14,47.08
2105,Paypal,2534.49,48.81
2106,Paypal,11350.12,98.73
2107,,0.00,0.00
2108,Debit Card,20.75,22.88
2109,Credit Card,103.75,146.80
2110,Debit Card,5068.98,45.19
2112,Cash,4543.07,52.74
2113,,0.00,0.00
2114,Paypal,62.25,60.48
2115,Debit Card,5913.81,5.81
2116,Cash,3955.95,72.57
2117,,0.00,0.00
2119,Paypal,741.09,0.00
2120,,0.00,0.00
2121,Credit Card,249.00,161.08
2122,Credit Card,1235.15,16.38
2123,,0.00,0.00
2124,,0.00,0.00
2125,Cash,494.06,48.40
2126,Cash,3064.56,92.44
2128,,0.00,0.00
2129,Paypal,7603.47,44.85
2131,Cash,7603.47,96.57
2132,Credit Card,166.00,73.94
2134,Credit Card,4639.60,133.06
2135,Credit Card,5068.98,37.83
2136,,0.00,0.00
2138,Cash,2319.80,0.00
2139,Cash,311.25,46.90
2140,,0.00,0.00
2141,Debit Card,7911.90,0.00
2142,Credit Card,3458.42,51.75
2144,,0.00,0.00
2145,Paypal,3711.68,80.02
2147,Credit Card,3247.72,0.00
2148,Cash,2373.57,24.87
2150,Credit Card,1729.21,6.77
2152,Credit Card,7120.71,47.64
2153,Paypal,7911.90,86.46
2154,,0.00,0.00
2155,Credit Card,4224.15,108.68
2156,Paypal,13907.60,16.45
2157,Debit Card,4341.64,111.66
2158,Credit Card,1648.18,54.43
2161,Debit Card,1689.66,60.46
2163,Debit Card,791.19,0.00
2164,Cash,4805.60,113.38
2165,,0.00,0.00
2166,Cash,2783.76,14.21
2169,,0.00,0.00
2170,Debit Card,1976.24,97.65
2171,Paypal,791.19,28.20
2177,Paypal,6329.26,60.69
2178,Cash,6758.64,97.88
2180,Paypal,4701.85,197.39
2181,Credit Card,12987.96,123.77
2182,Paypal,124.50,99.90
2183,Paypal,7911.90,71.00
2184,Credit Card,2319.80,43.42
2185,Paypal,2380.00,51.24
2186,Cash,207.50,0.00
2187,Credit Card,2223.27,5.36
2189,Paypal,1482.18,52.08
2190,,0.00,0.00
2191,,0.00,0.00
2192,Credit Card,5766.58,79.01
2193,Cash,62.25,58.21
2195,Credit Card,247.03,66.89
2196,,0.00,0.00
2198,Debit Card,7911.90,47.23
2199,Paypal,62.25,84.53
2200,Credit Card,7388.78,80.27
2201,,0.00,0.00
2203,Paypal,5913.81,81.99
2204,Credit Card,166.00,56.17
2205,Cash,2581.07,52.42
2206,,0.00,0.00
2209,Debit Card,6329.52,36.10
2211,Paypal,2620.60,8.87
2212,Credit Card,247.03,0.00
2213,Cash,2319.80,0.00
2215,Paypal,6495.52,83.41
2216,Debit Card,988.12,0.00
2220,Credit Card,4159.96,40.61
2221,,0.00,0.00
2223,Paypal,6758.64,62.29
2224,,0.00,0.00
2225,,0.00,0.00
2226,Credit Card,3955.95,42.84
2227,Paypal,103.75,0.00
2229,,0.00,0.00
2230,,0.00,0.00
2231,Paypal,8896.35,226.24
2232,Paypal,6329.52,33.83
2234,Debit Card,2223.27,31.63
2235,Debit Card,11595.43,111.69
2236,Credit Card,3955.95,0.00
2238,Cash,12450.88,47.15
2240,,0.00,0.00
2241,,0.00,0.00
2242,Paypal,1235.15,0.00
2243,Credit Card,844.83,0.00
2244,Cash,7120.71,81.82
2245,Paypal,4369.40,147.61
2246,Debit Card,1482.18,68.66
2248,,0.00,0.00
2249,Cash,1582.38,0.00
2252,Credit Card,3988.81,126.38
2253,,0.00,0.00
2254,Cash,7148.96,133.97
2256,Credit Card,83.00,67.27
2258,Paypal,4224.15,100.46
2259,Debit Card,9250.01,75.73
2260,Cash,494.06,90.31
2262,Paypal,1235.15,23.60
2264,Paypal,2470.30,33.18
2267,Paypal,7292.26,182.80
2270,Debit Card,2470.30,39.18
2272,Debit Card,1482.18,0.00
2273,,0.00,0.00
2275,Credit Card,2520.40,57.90
2276,Credit Card,1855.84,58.83
2277,Cash,3247.72,31.29
2279,,0.00,0.00
2280,Debit Card,186.75,10.99
2281,Cash,124.50,0.00
2282,Cash,741.09,47.51
2283,Credit Card,9459.31,122.32
2284,Cash,1297.40,56.65
2285,,0.00,0.00
